小選挙区,候補者,比例,候補者,候補者,候補者,候補者
北海道1区,,北海道,稲原むねよし,,,
北海道2区,,北海道,稲原むねよし,,,
北海道3区,,北海道,稲原むねよし,,,
北海道4区,,北海道,稲原むねよし,,,
北海道5区,,北海道,稲原むねよし,,,
北海道6区,,北海道,稲原むねよし,,,
北海道7区,,北海道,稲原むねよし,,,
北海道8区,,北海道,稲原むねよし,,,
北海道9区,,北海道,稲原むねよし,,,
北海道10区,,北海道,稲原むねよし,,,
北海道11区,,北海道,稲原むねよし,,,
北海道12区,,北海道,稲原むねよし,,,
青森1区,,東北,林たくみ,,,
青森2区,,東北,林たくみ,,,
青森3区,,東北,林たくみ,,,
岩手1区,,東北,林たくみ,,,
岩手2区,,東北,林たくみ,,,
岩手3区,,東北,林たくみ,,,
宮城1区,,東北,林たくみ,,,
宮城2区,,東北,林たくみ,,,
宮城3区,,東北,林たくみ,,,
宮城4区,,東北,林たくみ,,,
宮城5区,,東北,林たくみ,,,
秋田1区,,東北,林たくみ,,,
秋田2区,,東北,林たくみ,,,
秋田3区,,東北,林たくみ,,,
山形1区,,東北,林たくみ,,,
山形2区,,東北,林たくみ,,,
山形3区,,東北,林たくみ,,,
福島1区,,東北,林たくみ,,,
福島2区,,東北,林たくみ,,,
福島3区,,東北,林たくみ,,,
福島4区,,東北,林たくみ,,,
茨城1区,,北関東,武藤かず子,,,
茨城2区,,北関東,武藤かず子,,,
茨城3区,,北関東,武藤かず子,,,
茨城4区,,北関東,武藤かず子,,,
茨城5区,,北関東,武藤かず子,,,
茨城6区,,北関東,武藤かず子,,,
茨城7区,,北関東,武藤かず子,,,
栃木1区,,北関東,武藤かず子,,,
栃木2区,,北関東,武藤かず子,,,
栃木3区,,北関東,武藤かず子,,,
栃木4区,,北関東,武藤かず子,,,
栃木5区,,北関東,武藤かず子,,,
群馬1区,,北関東,武藤かず子,,,
群馬2区,,北関東,武藤かず子,,,
群馬3区,,北関東,武藤かず子,,,
群馬4区,,北関東,武藤かず子,,,
